Description	Iteration	Algorithm	ElapsedSeconds
iris	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default__C=1.0_class_weight=None_solver=liblinear	0.72473088
iris	4	/AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	0.679573504
iris	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default__gracePeriod=100.0_hoeffdingTieThreshold=0.02_leafPredictionStrategy=2_splitConfidence=1.0E-7_splitCriterion=1	2.994273536
iris	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default__decay=_hiddenLayers=a_momentum=0.2_normalizeAttributes=_reset=	3.0943872
iris	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default__useAIC=_weightTrimBeta=0.0	3.120934144
iris	5	/AlgorithmScripts/Classification/tsv/keras/dnn/default__dropout=0.1_epochs=100_layers=1616_regularization=0.1	4.663935488
iris	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest/default__balance_classes=FALSE_nbins=20_ntrees=50	4.303213568
iris	5	/AlgorithmScripts/Classification/tsv/mlr/mlp/default__learnFunc=Std_Backpropagation_size=5	1.954260736
iris	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost/default__nrounds=2	2.069773952
iris	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree/default__class_weight=None_criterion=gini_max_leaf_nodes=None_min_samples_leaf=1_min_samples_split=2_splitter=best	0.669947456
iris	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default__C=1.0_class_weight=None_solver=liblinear	0.723239616
iris	5	/AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	0.677551488
