Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric20	24.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric3	25.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric5	26.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric19	27.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric6	28.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric7	29.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric2	30.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric18	31.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric10	32.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric13	33.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric11	34.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric12	35.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric14	36.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric17	37.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric15	38.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric16	39.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete10_B	40.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete5_B	11.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric13	12.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete3_B	13.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete3_C	14.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete8_C	14.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete6_B	14.6
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric12	15.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete6_C	15.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete2_B	15.6
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete7_C	16.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete9_B	18.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete2_C	18.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric1	18.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric11	18.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric8	18.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete10_C	19.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete1_C	19.8
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric3	20.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric10	20.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric6	21.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric15	21.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric18	22.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric4	22.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric9	22.6
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric17	23.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete7_B	23.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric14	23.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete4_B	23.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete5_C	23.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete10_B	23.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric20	23.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete8_B	23.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric2	23.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete4_C	24.4
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric7	25.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete9_C	26.6
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric5	26.8
