Description	Iteration	Algorithm	Features
null	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	Discrete9_B,Numeric13,Discrete4_B,Discrete2_B,Discrete1_B,Discrete7_B,Numeric4,Discrete5_C,Discrete7_C,Numeric12,Numeric1,Discrete5_B,Discrete3_B,Numeric10,Numeric3,Discrete4_C,Discrete10_B,Numeric19,Discrete1_C,Discrete8_B,Numeric17,Discrete9_C,Numeric18,Numeric5,Numeric7,Discrete10_C,Discrete6_C,Numeric8,Discrete3_C,Numeric16,Numeric6,Discrete2_C,Discrete6_B,Numeric9,Numeric15,Numeric11,Numeric2,Numeric14,Discrete8_C,Numeric20
null	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Numeric6
null	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Numeric6
null	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Numeric19,Discrete9_B,Discrete5_B,Numeric15,Numeric18,Numeric2,Numeric6,Discrete3_B,Numeric16,Discrete3_C,Discrete10_B,Numeric17,Numeric4,Numeric5,Discrete4_B,Discrete6_C,Discrete1_C,Discrete7_C,Discrete8_C,Discrete6_B
null	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	Numeric4,Discrete5_B,Numeric6,Discrete9_B,Numeric5,Discrete3_C,Discrete10_B,Discrete6_C,Numeric10,Discrete6_B,Numeric19,Discrete2_B,Discrete2_C,Discrete3_B,Discrete8_C,Discrete4_C,Discrete7_B,Numeric15,Numeric11,Discrete1_C
null	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Numeric12
null	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Numeric9,Discrete6_B,Discrete5_C
null	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Numeric8,Discrete3_C,Discrete6_B
null	4	/AlgorithmScripts/Classification/tsv/keras/dnn	Numeric8,Discrete3_C,Discrete6_B,Numeric13,Discrete7_C
null	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Numeric4,Numeric12,Numeric14,Numeric19,Numeric10,Numeric11,Numeric15,Numeric2,Numeric5,Numeric6,Numeric7,Numeric8,Numeric1,Numeric16,Numeric20,Numeric9,Numeric13,Numeric17,Numeric18,Numeric3
null	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	Discrete3_C,Discrete7_C,Numeric8,Discrete3_B,Discrete10_B,Numeric13,Numeric15,Discrete2_C,Discrete1_C,Numeric14
null	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Numeric12,Numeric17,Discrete3_C,Numeric8,Discrete7_C,Discrete8_B,Numeric15,Discrete9_B,Numeric6,Numeric2,Discrete3_B,Numeric19,Numeric9,Discrete5_C,Discrete2_C
null	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Numeric6,Numeric16,Discrete3_C,Discrete7_C,Numeric15,Numeric17,Numeric19,Discrete4_B,Numeric12,Discrete9_B,Discrete3_B,Discrete2_B,Discrete4_C,Discrete8_B,Discrete9_C,Discrete10_B,Discrete1_B,Discrete2_C,Discrete7_B,Numeric2
null	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Numeric8,Discrete3_C,Discrete6_B
null	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B
null	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Discrete6_B,Discrete10_B,Discrete7_B,Discrete1_B,Numeric17
null	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Discrete8_C,Discrete10_C,Discrete6_C
null	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Discrete8_C,Discrete10_C,Discrete6_C,Discrete7_C,Discrete10_B
null	5	/AlgorithmScripts/Classification/tsv/keras/dnn	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B
null	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Discrete8_C,Discrete10_C,Discrete6_C
null	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	Numeric19,Discrete7_C,Numeric8,Numeric6,Numeric13,Discrete6_B,Discrete2_C,Numeric11,Numeric20,Discrete1_B,Discrete8_C,Discrete10_B,Discrete6_C,Discrete2_B,Numeric18,Numeric4,Discrete1_C,Discrete7_B,Discrete3_C,Numeric7,Discrete4_C,Numeric5,Discrete10_C,Discrete9_C,Discrete5_C,Numeric2,Discrete4_B,Discrete8_B,Discrete9_B,Numeric1,Discrete3_B,Discrete5_B,Numeric15,Numeric17,Numeric16,Numeric12,Numeric3,Numeric9,Numeric10,Numeric14
null	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Numeric1,Numeric19,Discrete5_B
null	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Numeric1,Numeric19,Discrete5_B,Numeric3,Discrete6_B,Numeric12,Discrete7_C,Discrete6_C,Discrete8_C,Discrete3_B
null	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B
null	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	Discrete8_C,Discrete10_C,Discrete6_C,Discrete7_C,Discrete10_B
