Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
null	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete4_B,Discrete7_C,Discrete3_B,Numeric8,Numeric10,Numeric11,Discrete3_C,Discrete2_C,Discrete4_C,Numeric16,Numeric5,Discrete2_B,Numeric19,Discrete8_C,Discrete6_B,Numeric2,Discrete5_B,Numeric20,Discrete1_C,Numeric7,Discrete5_C,Discrete10_B,Numeric18,Discrete1_B,Numeric15,Numeric4,Discrete8_B,Discrete9_B,Numeric9,Numeric6,Numeric17,Numeric14,Numeric13,Numeric3,Discrete10_C,Discrete7_B,Discrete6_C,Discrete9_C,Numeric12,Numeric1
null	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric18,Discrete4_B,Discrete3_B,Discrete7_C,Discrete2_B,Discrete3_C,Numeric10,Discrete4_C,Discrete2_C,Discrete8_C,Numeric12,Discrete1_C,Numeric11,Numeric17,Discrete6_B,Numeric19,Numeric8,Numeric20,Discrete5_B,Numeric1,Numeric3,Discrete10_C,Discrete5_C,Discrete10_B,Discrete6_C,Discrete1_B,Numeric14,Numeric2,Numeric15,Discrete7_B,Discrete9_B,Discrete8_B,Numeric5,Discrete9_C,Numeric13,Numeric16,Numeric9,Numeric4,Numeric6,Numeric7
null	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete3_B,Discrete4_B,Discrete4_C,Discrete6_B,Discrete2_C,Discrete7_C,Numeric8,Discrete1_B,Numeric6,Numeric11,Numeric15,Numeric13,Numeric2,Discrete9_C,Discrete5_C,Numeric14,Numeric12,Numeric17,Discrete7_B,Numeric3,Numeric5,Numeric9,Discrete8_B,Numeric1,Discrete3_C,Numeric7,Numeric20,Discrete9_B,Numeric18,Discrete8_C,Numeric16,Discrete1_C,Discrete5_B,Numeric19,Numeric4,Numeric10,Discrete6_C,Discrete2_B,Discrete10_B,Discrete10_C
null	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete4_B,Discrete7_C,Discrete3_B,Numeric8,Numeric10,Discrete3_C,Discrete2_C,Discrete4_C,Numeric11,Discrete2_B,Numeric5,Numeric16,Numeric19,Numeric2,Numeric20,Discrete8_C,Discrete6_B,Discrete5_B,Numeric18,Discrete1_C,Discrete5_C,Numeric3,Discrete10_B,Discrete1_B,Numeric15,Numeric4,Numeric14,Discrete8_B,Discrete9_B,Numeric9,Numeric13,Numeric17,Numeric7,Discrete10_C,Numeric6,Numeric12,Discrete7_B,Discrete6_C,Discrete9_C,Numeric1
null	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Numeric8,Discrete4_B,Discrete7_C,Discrete3_B,Numeric9,Numeric16,Discrete2_C,Numeric10,Discrete4_C,Discrete10_B,Numeric11,Discrete3_C,Discrete5_C,Discrete2_B,Numeric20,Numeric6,Discrete5_B,Discrete6_C,Discrete8_C,Numeric13,Discrete10_C,Discrete9_C,Discrete8_B,Numeric2,Numeric15,Numeric1,Discrete1_C,Numeric19,Numeric17,Discrete7_B,Discrete1_B,Discrete6_B,Numeric4,Discrete9_B,Numeric18,Numeric14,Numeric5,Numeric7,Numeric12,Numeric3
null	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete7_C,Discrete6_B,Numeric18,Discrete5_B,Numeric17,Discrete4_B,Discrete10_C,Numeric11,Discrete3_C,Discrete6_C,Discrete4_C,Discrete2_B,Discrete7_B,Discrete1_C,Numeric1,Numeric8,Numeric9,Numeric12,Discrete9_C,Numeric7,Numeric5,Numeric4,Discrete8_B,Discrete10_B,Numeric15,Numeric6,Numeric2,Numeric10,Discrete9_B,Discrete1_B,Numeric19,Numeric13,Numeric16,Discrete5_C,Discrete8_C,Numeric3,Discrete3_B,Numeric14,Numeric20,Discrete2_C
null	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	Numeric8,Numeric10,Numeric18,Numeric9,Numeric11,Numeric13,Numeric16,Numeric20,Numeric14,Numeric19,Numeric2,Numeric5,Numeric1,Numeric12,Numeric3,Numeric6,Numeric15,Numeric17,Numeric4,Numeric7,Discrete3_B,Discrete3_C,Discrete4_B,Discrete7_C,Discrete2_B,Discrete4_C,Discrete6_B,Discrete7_B,Discrete2_C,Discrete8_B,Discrete8_C,Discrete9_B,Discrete10_B,Discrete10_C,Discrete1_B,Discrete5_B,Discrete1_C,Discrete5_C,Discrete6_C,Discrete9_C
null	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Discrete7_C,Discrete2_C,Discrete3_B,Discrete4_B,Discrete1_C,Discrete5_B,Discrete5_C,Discrete8_C,Numeric10,Numeric16,Numeric2,Numeric8,Discrete2_B,Discrete6_B,Discrete6_C,Numeric18,Discrete1_B,Discrete7_B,Numeric20,Numeric5,Discrete9_B,Numeric11,Numeric3,Numeric7,Discrete10_B,Discrete10_C,Numeric1,Numeric15,Discrete3_C,Numeric13,Numeric19,Numeric6,Discrete4_C,Discrete9_C,Numeric14,Numeric9,Discrete8_B,Numeric12,Numeric17,Numeric4
null	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete2_C,Discrete3_B,Numeric5,Numeric8,Numeric14,Discrete6_C,Discrete2_B,Numeric10,Discrete7_C,Discrete10_C,Discrete5_C,Numeric15,Discrete8_B,Discrete3_C,Discrete8_C,Numeric17,Discrete9_B,Discrete4_B,Discrete9_C,Numeric12,Discrete7_B,Numeric20,Numeric11,Numeric6,Discrete6_B,Numeric7,Numeric2,Numeric1,Numeric3,Discrete4_C,Discrete10_B,Numeric4,Discrete1_C,Discrete5_B,Numeric16,Discrete1_B,Numeric9,Numeric19,Numeric13,Numeric18
null	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete2_C,Discrete6_C,Numeric9,Discrete5_B,Discrete6_B,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_C,Discrete4_C,Numeric8,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete4_B,Discrete3_B,Discrete3_C,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete3_B,Numeric11,Numeric8,Discrete2_B,Discrete2_C,Numeric10,Discrete6_C,Discrete8_B,Discrete7_C,Discrete8_C,Discrete3_C,Discrete9_C,Numeric6,Numeric7,Numeric12,Numeric15,Discrete9_B,Discrete7_B,Numeric4,Discrete10_C,Discrete5_C,Discrete4_C,Discrete1_C,Numeric2,Discrete4_B,Discrete5_B,Discrete1_B,Discrete10_B,Discrete6_B,Numeric13,Numeric20,Numeric3,Numeric1,Numeric9,Numeric18,Numeric19,Numeric5,Numeric17,Numeric14,Numeric16
null	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete3_B,Discrete6_B,Discrete7_B,Discrete4_B,Discrete2_C,Discrete10_C,Discrete5_B,Numeric17,Numeric8,Discrete9_C,Numeric7,Discrete2_B,Numeric10,Numeric6,Numeric11,Numeric13,Discrete8_C,Numeric2,Numeric18,Numeric12,Discrete4_C,Numeric14,Numeric9,Discrete8_B,Numeric16,Numeric5,Discrete1_C,Numeric4,Numeric3,Numeric1,Numeric15,Discrete5_C,Numeric20,Discrete7_C,Numeric19,Discrete1_B,Discrete6_C,Discrete3_C,Discrete10_B,Discrete9_B
null	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Discrete2_C,Discrete6_C,Numeric9,Discrete5_B,Discrete6_B,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_C,Discrete4_C,Numeric8,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete4_B,Discrete3_B,Discrete3_C,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete2_C,Discrete3_B,Numeric5,Numeric8,Discrete6_C,Discrete2_B,Numeric10,Numeric14,Discrete7_C,Discrete10_C,Numeric15,Discrete5_C,Discrete8_B,Discrete3_C,Discrete8_C,Numeric17,Discrete9_B,Discrete4_B,Discrete9_C,Numeric2,Discrete7_B,Numeric7,Numeric6,Discrete6_B,Numeric12,Numeric11,Numeric1,Discrete4_C,Numeric4,Numeric20,Discrete10_B,Discrete1_C,Numeric9,Discrete5_B,Discrete1_B,Numeric13,Numeric3,Numeric19,Numeric16,Numeric18
null	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Numeric8,Discrete2_C,Discrete3_B,Numeric1,Discrete6_B,Discrete1_B,Numeric6,Discrete10_C,Numeric17,Discrete1_C,Discrete8_B,Discrete10_B,Discrete7_B,Numeric16,Discrete4_B,Numeric12,Discrete5_C,Numeric18,Discrete7_C,Numeric9,Discrete2_B,Numeric5,Discrete9_B,Discrete3_C,Discrete4_C,Discrete8_C,Discrete9_C,Numeric13,Discrete6_C,Numeric14,Numeric20,Numeric2,Numeric10,Numeric11,Numeric4,Discrete5_B,Numeric15,Numeric7,Numeric19,Numeric3
