Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg	1.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	alm	1.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mit	3.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	gvh	4.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	vac	5.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	nuc	5.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	pox	7.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	erl	7.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg	1.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	alm	1.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	pox	3.2
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	gvh	3.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mit	5.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	nuc	5.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	vac	6.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	erl	7.9
