Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A6	2.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A7	3.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A8	3.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A3	5.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A1	6.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A4	7.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A5	7.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2	1.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A6	2.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A1	3.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A7	4.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A3	5.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A5	5.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A8	6.2
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A4	6.6
